seed,alpha,method,CVaR_lb,CVar_lb_model,beta_cvar,comp_time
4,0.9,LR,26.50,34.00,55.00,45.80264711380005
4,0.9,MLP,20.50,42.00,68.00,135.35248970985413
4,0.9,RF,22.00,37.00,61.00,107.9583146572113
4,0.9,AB,22.00,38.50,64.00,147.457661151886
4,0.9,KNN,21.50,44.00,70.00,171.88335514068604
4,0.95,LR,26.50,34.00,60.00,110.27700114250183
4,0.95,MLP,20.50,42.00,75.50,12.363083124160767
4,0.95,RF,22.00,37.00,69.00,9.894243955612183
4,0.95,AB,22.00,38.50,71.50,14.5564546585083
4,0.95,KNN,21.50,44.00,80.50,20.24065113067627
4,0.99,LR,26.50,34.00,71.50,11.014680862426758
4,0.99,MLP,20.50,42.00,89.50,3.978459358215332
4,0.99,RF,22.00,37.00,84.00,1.7292463779449463
4,0.99,AB,22.00,38.50,87.50,2.405782699584961
4,0.99,KNN,21.50,44.00,92.50,2.1453142166137695
3,0.9,LR,26.50,34.50,55.00,149.87072587013245
3,0.9,MLP,22.00,43.50,69.00,123.44873785972595
3,0.9,RF,22.00,37.50,61.50,59.83340620994568
3,0.9,AB,22.50,39.50,65.50,108.17666029930115
3,0.9,KNN,22.00,44.50,71.50,116.53899478912354
3,0.95,LR,26.50,34.50,60.50,72.55778551101685
3,0.95,MLP,22.00,43.00,77.50,90.6726906299591
3,0.95,RF,22.00,37.50,70.50,16.529013872146606
3,0.95,AB,22.50,39.50,74.00,102.07879948616028
3,0.95,KNN,22.00,44.50,80.00,60.18385696411133
3,0.99,LR,26.50,34.50,73.00,1.2437663078308105
3,0.99,MLP,22.00,43.00,91.00,1.767319679260254
3,0.99,RF,22.00,37.50,82.00,13.86417841911316
3,0.99,AB,22.50,39.50,87.00,4.564240217208862
3,0.99,KNN,22.00,44.50,95.00,1.598870038986206
2,0.9,LR,26.50,34.00,56.00,32.2118616104126
2,0.9,MLP,22.00,43.50,69.50,103.3210699558258
2,0.9,RF,22.50,37.50,61.50,54.39256715774536
2,0.9,AB,22.50,39.50,65.00,148.49504327774048
2,0.9,KNN,23.00,47.50,75.50,130.46989274024963
2,0.95,LR,26.50,34.00,61.00,34.16082191467285
2,0.95,MLP,22.00,43.50,78.00,10.429898500442505
2,0.95,RF,22.50,37.50,69.50,8.236257553100586
2,0.95,AB,22.50,39.50,73.00,107.7832818031311
2,0.95,KNN,23.00,47.50,83.50,76.63183403015137
2,0.99,LR,26.50,34.00,73.00,5.408949851989746
2,0.99,MLP,22.00,43.50,90.00,1.5736665725708008
2,0.99,RF,22.50,37.50,83.00,1.4554181098937988
2,0.99,AB,22.50,39.50,89.00,0.9435529708862305
2,0.99,KNN,23.00,47.50,98.00,14.093296766281128
1,0.9,LR,27.00,34.50,56.50,52.3765082359314
1,0.9,MLP,22.50,45.50,72.50,234.18500781059265
1,0.9,RF,22.50,38.00,63.00,126.41302919387817
1,0.9,AB,22.50,39.00,64.00,85.89867997169495
1,0.9,KNN,22.50,46.00,74.00,141.21849966049194
1,0.95,LR,27.00,34.50,61.50,7.813545227050781
1,0.95,MLP,22.50,45.50,80.00,12.053615808486938
1,0.95,RF,22.50,38.00,70.00,7.956593990325928
1,0.95,AB,22.50,39.00,73.00,17.275004148483276
1,0.95,KNN,22.50,46.00,83.50,15.719929933547974
1,0.99,LR,27.00,34.50,72.50,1.776883602142334
1,0.99,MLP,22.50,45.50,92.00,1.3063602447509766
1,0.99,RF,22.50,38.00,84.00,24.186089992523193
1,0.99,AB,22.50,39.00,88.00,2.6084845066070557
1,0.99,KNN,22.50,46.00,92.50,40.23228478431702
0,0.9,LR,26.50,34.00,56.00,89.63170957565308
0,0.9,MLP,21.50,40.50,66.50,118.90551280975342
0,0.9,RF,22.50,37.50,63.00,70.93123316764832
0,0.9,AB,22.50,39.00,64.00,78.21429681777954
0,0.9,KNN,22.00,46.00,73.00,132.4862515926361
0,0.95,LR,26.50,34.00,61.00,50.76154708862305
0,0.95,MLP,21.50,40.50,74.50,8.634883642196655
0,0.95,RF,22.50,37.50,70.00,9.33501935005188
0,0.95,AB,22.50,39.00,71.50,12.48822569847107
0,0.95,KNN,22.00,45.50,81.00,13.751176357269287
0,0.99,LR,26.50,34.00,74.00,1.0849275588989258
0,0.99,MLP,21.50,40.50,89.00,4.542635202407837
0,0.99,RF,22.50,37.50,85.50,1.3183395862579346
0,0.99,AB,22.50,39.00,85.50,1.2423546314239502
0,0.99,KNN,22.00,45.50,97.00,1.3990864753723145
